question,type,database
Name the actors who have acted in movies with a budget less than 50 million dollars.,Complex Retrieval Queries,recommendations
List the movies that have been both directed and acted in by the same person.,Complex Retrieval Queries,recommendations
What are the three most common languages spoken in movies directed by Anthony Stacchi?,Complex Retrieval Queries,recommendations
Which movies have won more than 200 million dollars but were rated below 6.0 on IMDb?,Complex Retrieval Queries,recommendations
List the movies where the primary language is English and have a runtime of exactly 96 minutes.,Complex Retrieval Queries,recommendations
Name the top 5 movies with the most IMDb votes released before the year 2000.,Complex Retrieval Queries,recommendations
Which genres have the most movies with a runtime over 120 minutes?,Complex Retrieval Queries,recommendations
List the names of movies that have a plot mentioning 'friendship'.,Complex Retrieval Queries,recommendations
What are the top 3 countries producing movies with a revenue over 500 million dollars?,Complex Retrieval Queries,recommendations
Who are the directors of movies that have an IMDb rating greater than 8.0?,Complex Retrieval Queries,recommendations
List the movies that have been rated by user '1'.,Complex Retrieval Queries,recommendations
Which actors have appeared in movies released in the 'Comedy' genre?,Complex Retrieval Queries,recommendations
"What are the names of the movies directed by persons born in 'Burchard, Nebraska, USA'?",Complex Retrieval Queries,recommendations
Name the movies where the main language is not English and have a budget over 75 million dollars.,Complex Retrieval Queries,recommendations
List the top 3 movies with the highest budget to revenue ratio.,Complex Retrieval Queries,recommendations
Name genres in which Harold Lloyd has directed movies.,Complex Retrieval Queries,recommendations
Which users have rated movies directed by directors born after 1960?,Complex Retrieval Queries,recommendations
Name the movies that have posters ending with 'w5Lctmkc1yah215Luxmci4djaiW.jpg'.,Complex Retrieval Queries,recommendations
List the top 3 actors by the number of roles in movies released after 2010.,Complex Retrieval Queries,recommendations
Which movies have been rated by users named 'Omar Huffman'?,Complex Retrieval Queries,recommendations
Name the genres of movies that have a plot mentioning 'army'.,Complex Retrieval Queries,recommendations
List movies with a revenue less than 20 million dollars and released before 1980.,Complex Retrieval Queries,recommendations
What are the IMDb ratings of movies that have a plot mentioning 'evil exterminator'?,Complex Retrieval Queries,recommendations
Name the movies that have been acted in and directed by the same person.,Complex Retrieval Queries,recommendations
Which movies have a runtime greater than 120 minutes and were released after 2000?,Simple Aggregation Queries,recommendations
What are the top 5 highest-grossing movies that were released before 2010?,Simple Aggregation Queries,recommendations
List 3 movies directed by 'Anthony Stacchi'.,Simple Aggregation Queries,recommendations
Which 5 actors have acted in the most movies?,Simple Aggregation Queries,recommendations
What are the top 3 genres by the number of movies?,Simple Aggregation Queries,recommendations
Who are the top 5 directors by the number of movies they have directed?,Simple Aggregation Queries,recommendations
"What are the top 5 movies by IMDB rating that have more than 100,000 IMDB votes?",Simple Aggregation Queries,recommendations
Which movies have been rated by user '1' and have a rating greater than 8?,Simple Aggregation Queries,recommendations
List the movies that have grossed over 1 billion USD in revenue.,Simple Aggregation Queries,recommendations
What are the top 3 longest movies by runtime?,Simple Aggregation Queries,recommendations
Provide the names of 3 actors who have also directed movies.,Simple Aggregation Queries,recommendations
Which 5 movies have the most diverse language offerings?,Simple Aggregation Queries,recommendations
What are the 3 most common countries for movie settings in the database?,Simple Aggregation Queries,recommendations
List 3 movies that were released in the 1990s and have an IMDB rating above 7.,Simple Aggregation Queries,recommendations
Which directors were born in the USA?,Simple Aggregation Queries,recommendations
"What are the top 5 highest-rated movies by users, based on the average user rating?",Simple Aggregation Queries,recommendations
List the movies that have a budget greater than 200 million USD.,Simple Aggregation Queries,recommendations
Which 3 movies feature both English and Japanese languages?,Simple Aggregation Queries,recommendations
What are the top 3 movies by revenue released in 2014?,Simple Aggregation Queries,recommendations
Which actors have played in a movie and also directed a movie?,Simple Aggregation Queries,recommendations
Who are the 5 most frequent actors in the 'Adventure' genre?,Simple Aggregation Queries,recommendations
List the 3 oldest directors based on their birth date.,Simple Aggregation Queries,recommendations
Which movies have both high revenue (over 500 million USD) and high imdbRating (above 8.0)?,Simple Aggregation Queries,recommendations
What are the most recent 3 movies directed by any director born in Canada?,Simple Aggregation Queries,recommendations
Which 3 users have rated the most movies?,Simple Aggregation Queries,recommendations
List 5 genres that have the least number of movies associated with them.,Simple Aggregation Queries,recommendations
What are the top 3 highest budget movies that failed to gross more than their budget?,Simple Aggregation Queries,recommendations
Which movies have been rated by more than 1000 users?,Simple Aggregation Queries,recommendations
List the 3 directors who have directed the most movies of a single genre.,Simple Aggregation Queries,recommendations
Which actors have featured in movies released in multiple languages?,Simple Aggregation Queries,recommendations
What movies have a runtime longer than 120 minutes and were released after 2000?,Pathfinding Queries,recommendations
Which movies have been rated by more than three users?,Pathfinding Queries,recommendations
List the top 5 movies with the highest IMDb rating.,Pathfinding Queries,recommendations
What are the names of actors who have acted in more than five movies?,Pathfinding Queries,recommendations
Which users have rated movies in the 'Adventure' genre?,Pathfinding Queries,recommendations
What movies had a budget greater than 100 million dollars and were directed by a director born in the USA?,Pathfinding Queries,recommendations
Find all movies where the revenue was more than double the budget.,Pathfinding Queries,recommendations
What genres have more than ten movies associated with them?,Pathfinding Queries,recommendations
Which movies have been rated by both user '1' and user '2'?,Pathfinding Queries,recommendations
What are the names of directors who have directed both a 'Comedy' and a 'Drama' movie?,Pathfinding Queries,recommendations
How many movies have been released in each year from 2010 to 2020?,Pathfinding Queries,recommendations
Which actors have acted in movies from at least three different countries?,Pathfinding Queries,recommendations
List the top 3 movies with the most IMDb votes.,Pathfinding Queries,recommendations
Which directors have a bio that mentions 'Academy Award'?,Pathfinding Queries,recommendations
What movies have both English and French as their languages?,Pathfinding Queries,recommendations
How many users have rated the movie with the IMDb ID '0114709'?,Pathfinding Queries,recommendations
Which actor has the highest number of roles in movies released before 1980?,Pathfinding Queries,recommendations
Can you list all genres that a movie with the title 'Toy Story' falls under?,Pathfinding Queries,recommendations
Which movies feature actors born in France?,Pathfinding Queries,recommendations
What are the top 5 highest-grossing movies of 2014?,Pathfinding Queries,recommendations
How many genres has each movie been classified under?,Pathfinding Queries,recommendations
Which movie had the largest number of actors participating?,Pathfinding Queries,recommendations
List all movies directed by someone who was born after 1970.,Pathfinding Queries,recommendations
What is the average IMDb rating of movies with a runtime under 90 minutes?,Pathfinding Queries,recommendations
Which movies have been rated exactly 5 by more than one user?,Pathfinding Queries,recommendations
Find movies where the sum of the revenue and budget is more than 1 billion dollars.,Pathfinding Queries,recommendations
Which directors have directed movies in more than two languages?,Pathfinding Queries,recommendations
List the top 5 movies by revenue that were released in the last five years of the schema's data range.,Pathfinding Queries,recommendations
Which users have rated a movie but have not rated any movie in the 'Sci-Fi' genre?,Pathfinding Queries,recommendations
What are the different roles played by actors in the movie with the IMDb ID '0829150'?,Pathfinding Queries,recommendations
List all the movies that have been both directed and acted in by the same person.,Pathfinding Queries,recommendations
Which actor has the most diverse filmography in terms of genres acted in?,Pathfinding Queries,recommendations
What are the names of the users who rated the movie 'Dracula Untold'?,Pathfinding Queries,recommendations
Which directors have a poster URL that includes 'w440_and_h660_face'?,Pathfinding Queries,recommendations
List the movies that have a plot mentioning 'kingdom'.,Pathfinding Queries,recommendations
"What is the total revenue generated by movies directed by directors born in 'Burchard, Nebraska, USA'?",Pathfinding Queries,recommendations
Which movies have a plot description longer than 150 characters?,Pathfinding Queries,recommendations
List the top 3 movies with the shortest runtime.,Pathfinding Queries,recommendations
"Find all movies that have been rated after January 1st, 2015.",Pathfinding Queries,recommendations
"What are the IMDb IDs of movies that have more than 500,000 IMDb votes?",Pathfinding Queries,recommendations
Which movies have been acted in by persons born before 1900?,Pathfinding Queries,recommendations
What are the top 5 movies by revenue released in 1995?,Complex Aggregation Queries,recommendations
Which movies have a runtime longer than 150 minutes and less than 200 minutes?,Complex Aggregation Queries,recommendations
List the top 3 highest imdbRating movies that were released before the year 2000.,Complex Aggregation Queries,recommendations
What are the top 5 oldest actors who have acted in English language movies?,Complex Aggregation Queries,recommendations
Which directors have directed more than one movie in the 'Drama' genre?,Complex Aggregation Queries,recommendations
List the top 3 movies with the highest number of imdbVotes.,Complex Aggregation Queries,recommendations
What are the top 5 movies with the most countries listed in their production?,Complex Aggregation Queries,recommendations
Which users have rated more than 5 movies with a rating above 7.0?,Complex Aggregation Queries,recommendations
List the top 3 genres with the most movies associated with them.,Complex Aggregation Queries,recommendations
What are the 5 most recent movies directed by directors born in the USA?,Complex Aggregation Queries,recommendations
Which actors have acted in both 'Comedy' and 'Drama' genres?,Complex Aggregation Queries,recommendations
List the top 3 movies with the highest budget to revenue ratio.,Complex Aggregation Queries,recommendations
Which movies have been rated by more than 1000 users?,Complex Aggregation Queries,recommendations
What are the top 5 movies that have the most languages spoken in them?,Complex Aggregation Queries,recommendations
Which actors have never acted in a movie released after 2010?,Complex Aggregation Queries,recommendations
List the top 3 movies that have the highest revenue and were released in 2014.,Complex Aggregation Queries,recommendations
What are the top 5 directors by number of movies directed in the 'Action' genre?,Complex Aggregation Queries,recommendations
Which users have the highest average rating given to movies? (minimum 3 ratings),Complex Aggregation Queries,recommendations
List the genres that have movies with an imdbRating less than 4.0.,Complex Aggregation Queries,recommendations
What are the 5 most recent movies with a runtime less than 90 minutes?,Complex Aggregation Queries,recommendations
Which actors have the most roles in movies with a budget over 100 million dollars?,Complex Aggregation Queries,recommendations
List the top 3 movies with the lowest imdbVotes released after 2000.,Complex Aggregation Queries,recommendations
What are the top 5 actors by number of movies acted in with a revenue greater than 500 million dollars?,Complex Aggregation Queries,recommendations
Which directors have directed movies in more than three different languages?,Complex Aggregation Queries,recommendations
List the top 3 movies with the smallest difference between budget and revenue.,Complex Aggregation Queries,recommendations
What are the top 5 movies with the highest number of actors involved?,Complex Aggregation Queries,recommendations
Which users have rated the same movie more than once?,Complex Aggregation Queries,recommendations
List the top 3 movies with the lowest imdbRating that have been rated by more than 500 users.,Complex Aggregation Queries,recommendations
What are the top 5 actors who have acted in movies directed by Denzel Washington?,Complex Aggregation Queries,recommendations
Which directors were born in France and have directed at least two movies?,Complex Aggregation Queries,recommendations
List the top 3 highest grossing movies of 2013.,Complex Aggregation Queries,recommendations
What are the top 5 movies with the most distinct genres associated with them?,Complex Aggregation Queries,recommendations
Which movies have more than five genres associated with their production?,Complex Aggregation Queries,recommendations
List the top 3 actors by number of movies acted in that were released in the 1990s.,Complex Aggregation Queries,recommendations
What are the top 5 directors who have directed movies that won an academy award?,Complex Aggregation Queries,recommendations
Which actors have acted in both high-budget (over 200 million dollars) and low-budget (under 10 million dollars) movies?,Complex Aggregation Queries,recommendations
List the top 3 movies with a plot involving 'love' that have a runtime over 120 minutes.,Complex Aggregation Queries,recommendations
What are the top 5 movies with the highest imdbRating that were released in the 21st century?,Complex Aggregation Queries,recommendations
Which directors have directed movies in both the 'Horror' and 'Romance' genres?,Complex Aggregation Queries,recommendations
List the top 3 actors with the highest average imdbRating across movies they've acted in (minimum 3 movies).,Complex Aggregation Queries,recommendations
List the names of the top 5 movies with the highest revenue.,Verbose query,recommendations
What are the top 5 longest movies by runtime?,Verbose query,recommendations
Find the names of the top 5 movies with the lowest imdbRating.,Verbose query,recommendations
List the top 5 movies with the most imdbVotes.,Verbose query,recommendations
Find the names of the top 5 directors by the number of movies they have directed.,Verbose query,recommendations
What are the top 5 actors who acted in the most number of movies?,Verbose query,recommendations
List the names of the first 3 genres that have the most movies associated with them.,Verbose query,recommendations
Which 5 movies have been rated by the highest number of users?,Verbose query,recommendations
What are the top 5 countries where the most movies originate from based on the 'countries' property of movies?,Verbose query,recommendations
List the names of the top 3 users who have rated the most movies.,Verbose query,recommendations
What are the top 5 languages in which movies are made based on the 'languages' property of movies?,Verbose query,recommendations
Find the top 5 movies released most recently.,Verbose query,recommendations
What are the top 3 oldest movies based on the 'year' property?,Verbose query,recommendations
List the 5 oldest actors based on the 'born' property.,Verbose query,recommendations
Who are the top 5 youngest directors based on the 'born' property?,Verbose query,recommendations
What are the top 5 movies with the highest budgets?,Verbose query,recommendations
List the top 5 movies with the smallest budgets.,Verbose query,recommendations
Which 5 actors have acted in movies with the highest average imdbRating?,Verbose query,recommendations
Find the top 5 directors who have directed movies with the highest average imdbRating.,Verbose query,recommendations
List the top 5 users who have given the highest average ratings to movies.,Verbose query,recommendations
What are the top 5 questions with the highest number of favorites?,Simple Retrieval Queries,buzzoverflow
List the first 3 questions that have been answered.,Simple Retrieval Queries,buzzoverflow
What are the top 5 questions with the highest score?,Simple Retrieval Queries,buzzoverflow
Show the first 3 users with the highest reputation.,Simple Retrieval Queries,buzzoverflow
Which 5 questions have the most upVotes?,Simple Retrieval Queries,buzzoverflow
List the first 3 tags that are associated with more than one question.,Simple Retrieval Queries,buzzoverflow
What are the top 5 most recent questions asked?,Simple Retrieval Queries,buzzoverflow
Show the 3 questions with the most downVotes.,Simple Retrieval Queries,buzzoverflow
Which 5 users have asked the most questions?,Simple Retrieval Queries,buzzoverflow
List the first 3 questions that have not been answered yet.,Simple Retrieval Queries,buzzoverflow
Which 5 questions have the lowest score?,Simple Retrieval Queries,buzzoverflow
Show the first 3 questions tagged with 'graphql'.,Simple Retrieval Queries,buzzoverflow
What are the top 5 users by image link?,Simple Retrieval Queries,buzzoverflow
List the 3 questions with the highest number of downVotes that have been answered.,Simple Retrieval Queries,buzzoverflow
Which 5 questions were created in the year 2020?,Simple Retrieval Queries,buzzoverflow
Show the first 3 questions asked by a user with a reputation over 2000.,Simple Retrieval Queries,buzzoverflow
What are the 5 oldest questions in the database?,Simple Retrieval Queries,buzzoverflow
List the first 3 questions with more than one tag.,Simple Retrieval Queries,buzzoverflow
Which 5 questions have the lowest number of favorites?,Simple Retrieval Queries,buzzoverflow
Show the first 3 users who have asked a question about 'react-apollo'.,Simple Retrieval Queries,buzzoverflow
What are the 5 most recent questions asked by users with a reputation under 1000?,Simple Retrieval Queries,buzzoverflow
List the top 5 users who have never asked a question about 'node.js'.,Simple Retrieval Queries,buzzoverflow
Find the top 3 questions with the most complex text content.,Simple Retrieval Queries,buzzoverflow
What are the 5 questions with the shortest title?,Simple Retrieval Queries,buzzoverflow
Show the first 3 questions that have a link to an external site.,Simple Retrieval Queries,buzzoverflow
List the 5 questions with the longest text content.,Simple Retrieval Queries,buzzoverflow
Which 5 questions have titles containing the word 'error'?,Simple Retrieval Queries,buzzoverflow
Show the first 3 questions that have been answered and have more than 5 favorites.,Simple Retrieval Queries,buzzoverflow
What are the top 5 questions tagged with 'aws-lambda'?,Simple Retrieval Queries,buzzoverflow
List the first 3 users with the least reputation who have asked a question.,Simple Retrieval Queries,buzzoverflow
Find the 5 questions with the most tags.,Simple Retrieval Queries,buzzoverflow
Show the first 3 questions that were asked by users with an image link containing 'googleusercontent'.,Simple Retrieval Queries,buzzoverflow
What are the top 5 questions by the number of total votes (upVotes and downVotes combined)?,Simple Retrieval Queries,buzzoverflow
List the 3 questions with the most references to external links in their text.,Simple Retrieval Queries,buzzoverflow
Which 5 users have the most distinct tags for questions they've asked?,Simple Retrieval Queries,buzzoverflow
Show the first 3 questions where the score is exactly zero.,Simple Retrieval Queries,buzzoverflow
What are the 5 most recent questions with no favorites?,Simple Retrieval Queries,buzzoverflow
List the first 3 tags that appear only once across all questions.,Simple Retrieval Queries,buzzoverflow
Which 5 questions have text containing the word 'schema'?,Simple Retrieval Queries,buzzoverflow
Show the first 3 questions that have been answered and have a score less than zero.,Simple Retrieval Queries,buzzoverflow
What are the top 5 longest titles for questions in the database?,Simple Retrieval Queries,buzzoverflow
List the first 3 questions asked by users with a display name starting with 'A'.,Simple Retrieval Queries,buzzoverflow
Find the 5 most recent questions tagged 'graphql' that have been answered.,Simple Retrieval Queries,buzzoverflow
Show the first 3 questions where the createdAt date is on a weekend.,Simple Retrieval Queries,buzzoverflow
What are the top 5 questions with exactly 3 tags?,Simple Retrieval Queries,buzzoverflow
List the first 3 questions with a score greater than 5.,Simple Retrieval Queries,buzzoverflow
Which 5 users have asked questions with the word 'variables' in the title?,Simple Retrieval Queries,buzzoverflow
Show the first 3 questions that have been linked in more than one answer.,Simple Retrieval Queries,buzzoverflow
"What are the top 5 questions that were asked on a holiday (assuming holidays are January 1st, December 25th)?",Simple Retrieval Queries,buzzoverflow
List the first 3 questions where the user asking has an id less than 5000.,Simple Retrieval Queries,buzzoverflow
What are the first 3 questions asked by the user with a reputation of 65?,Complex Retrieval Queries,buzzoverflow
List the top 5 most favorited questions.,Complex Retrieval Queries,buzzoverflow
Which questions have been answered and have more than 2 upVotes?,Complex Retrieval Queries,buzzoverflow
Find all questions tagged with 'aws-lambda' that have a negative score.,Complex Retrieval Queries,buzzoverflow
What are the first 3 questions that have been downvoted at least 5 times?,Complex Retrieval Queries,buzzoverflow
List the top 5 questions with the most upVotes that were created in 2020.,Complex Retrieval Queries,buzzoverflow
Which user asked the question titled 'Playground is not loading with apollo-server-lambda'?,Complex Retrieval Queries,buzzoverflow
Find all questions tagged 'react-apollo' that have not been answered.,Complex Retrieval Queries,buzzoverflow
What are the top 3 most recent questions asked by users with a reputation over 100?,Complex Retrieval Queries,buzzoverflow
List all questions that have 'GraphQL' mentioned in their text and are tagged with 'angular'.,Complex Retrieval Queries,buzzoverflow
Which questions were asked by users with an image link containing 'googleusercontent'?,Complex Retrieval Queries,buzzoverflow
What are the first 3 questions that were created on '2020-06-05' and have a score below zero?,Complex Retrieval Queries,buzzoverflow
List the top 5 questions by users who have a link ending in 'alexandre'.,Complex Retrieval Queries,buzzoverflow
Which questions have a title containing 'Apollo' and were created before 2020?,Complex Retrieval Queries,buzzoverflow
Find all questions with more than 3 downVotes and tagged with 'node.js'.,Complex Retrieval Queries,buzzoverflow
What are the first 3 questions that have a score of zero and no favorites?,Complex Retrieval Queries,buzzoverflow
List the top 5 users by reputation who have asked a question about 'GraphQL'.,Complex Retrieval Queries,buzzoverflow
Which user with the display name 'Stzl' asked a question with 'bad request' in the title?,Complex Retrieval Queries,buzzoverflow
Find all questions with a 'createdAt' date in 2019 and exactly 0 upVotes.,Complex Retrieval Queries,buzzoverflow
What are the first 3 questions asked by users with a display name starting with 'Alex'?,Complex Retrieval Queries,buzzoverflow
List the top 5 questions with the highest number of downVotes.,Complex Retrieval Queries,buzzoverflow
Which questions were asked by a user with an ID greater than 9000000?,Complex Retrieval Queries,buzzoverflow
Find all questions that mention 'schema' in their text and have been tagged with 'aws-lambda'.,Complex Retrieval Queries,buzzoverflow
What are the first 3 questions with a link containing 'stackoverflow' and more than 1 favorite?,Complex Retrieval Queries,buzzoverflow
List the top 5 questions asked by users who have a reputation less than 100.,Complex Retrieval Queries,buzzoverflow
Which questions have the text mentioning 'error' and were asked by a user with an image URL?,Complex Retrieval Queries,buzzoverflow
Find all questions with a title containing 'Drupal' and tagged with 'react-apollo'.,Complex Retrieval Queries,buzzoverflow
What are the first 3 questions that have a createdAt date on '2019-08-15' and have been answered?,Complex Retrieval Queries,buzzoverflow
List the top 5 most recent questions with a score less than -3.,Complex Retrieval Queries,buzzoverflow
Which user asked the most questions tagged with 'angular'?,Complex Retrieval Queries,buzzoverflow
"Find all questions that have been answered, have a createdAt date in June 2020, and are tagged with 'node.js'.",Complex Retrieval Queries,buzzoverflow
What are the top 5 questions with the highest number of favorites?,Simple Aggregation Queries,buzzoverflow
List 3 questions that have been answered.,Simple Aggregation Queries,buzzoverflow
Which 3 users have the highest reputation?,Simple Aggregation Queries,buzzoverflow
Identify the top 5 questions with the most upVotes.,Simple Aggregation Queries,buzzoverflow
Find the 3 most recent questions asked on the platform.,Simple Aggregation Queries,buzzoverflow
Which 3 tags are most frequently used in questions?,Simple Aggregation Queries,buzzoverflow
List the top 5 questions with the most downVotes.,Simple Aggregation Queries,buzzoverflow
Show the top 3 users who have asked the most questions.,Simple Aggregation Queries,buzzoverflow
What are the 3 most recent tags added to questions?,Simple Aggregation Queries,buzzoverflow
List 3 questions with the lowest score.,Simple Aggregation Queries,buzzoverflow
Which 3 questions have the most comments?,Simple Aggregation Queries,buzzoverflow
Show the top 5 users by number of questions they have tagged.,Simple Aggregation Queries,buzzoverflow
What are the top 3 questions with the shortest text length?,Simple Aggregation Queries,buzzoverflow
Which 3 users have posted questions with no upVotes?,Simple Aggregation Queries,buzzoverflow
Find the 3 questions with the longest title.,Simple Aggregation Queries,buzzoverflow
Identify the top 5 questions that have not been answered yet.,Simple Aggregation Queries,buzzoverflow
List 3 users who have never been downvoted on their questions.,Simple Aggregation Queries,buzzoverflow
Which 3 questions were created first on the platform?,Simple Aggregation Queries,buzzoverflow
Show the top 5 questions based on total vote count (upVotes plus downVotes).,Simple Aggregation Queries,buzzoverflow
What are the 3 questions with the most negative score?,Simple Aggregation Queries,buzzoverflow
Which 3 tags are associated with questions that have the highest favorites?,Simple Aggregation Queries,buzzoverflow
List the 3 users who have asked questions with the most tags.,Simple Aggregation Queries,buzzoverflow
Identify the top 5 questions with titles containing the word 'error'.,Simple Aggregation Queries,buzzoverflow
Find the 3 users with the lowest reputation who have asked questions.,Simple Aggregation Queries,buzzoverflow
Show the 3 questions with the longest link URLs.,Simple Aggregation Queries,buzzoverflow
Which 3 questions have the most detailed (longest text) descriptions?,Simple Aggregation Queries,buzzoverflow
List the top 5 most active users based on questions asked in the last year.,Simple Aggregation Queries,buzzoverflow
What are the 3 oldest questions in terms of creation date?,Simple Aggregation Queries,buzzoverflow
Identify 3 users who asked questions tagged with 'graphql'.,Simple Aggregation Queries,buzzoverflow
Show the top 5 questions tagged with 'aws-lambda' by upVotes.,Simple Aggregation Queries,buzzoverflow
Which 3 questions have the fewest favorites but have been answered?,Simple Aggregation Queries,buzzoverflow
List the 3 tags used the least in the questions database.,Simple Aggregation Queries,buzzoverflow
Find the top 5 users who asked questions most recently.,Simple Aggregation Queries,buzzoverflow
What are the 3 questions with the most balanced vote ratio (closest upVotes to downVotes)?,Simple Aggregation Queries,buzzoverflow
Which 3 users have the highest average score per question asked?,Simple Aggregation Queries,buzzoverflow
List the 3 tags most frequently associated with unanswered questions.,Simple Aggregation Queries,buzzoverflow
Identify the 3 users who have asked the most questions without any upVotes.,Simple Aggregation Queries,buzzoverflow
Show the top 5 questions by the number of times they have been favorited.,Simple Aggregation Queries,buzzoverflow
What are the 3 questions with the most references to external links in their text?,Simple Aggregation Queries,buzzoverflow
Which 3 users have the highest rate of answered questions?,Simple Aggregation Queries,buzzoverflow
Which users asked questions about GraphQL subscriptions?,Pathfinding Queries,buzzoverflow
What are the top 5 questions with the most upvotes?,Pathfinding Queries,buzzoverflow
List the first 3 tags associated with questions about GraphQL.,Pathfinding Queries,buzzoverflow
Which questions were answered and have a score of 1 or more?,Pathfinding Queries,buzzoverflow
Find all users who have asked more than one question.,Pathfinding Queries,buzzoverflow
Which questions have been tagged with 'graphql-js' and have downvotes?,Pathfinding Queries,buzzoverflow
